,name,price,top_prize,remaining_top_prizes,chances_to_win,game_start_date,last_date_to_claim,probability,prize_amount,prize_start_num,prize_remaining_num
94,$1 Million Royale,20.0,1000000.0,6,32,07/17/2023,,3.04,1000.0,448,356
95,$1 Million Royale,20.0,1000000.0,6,32,07/17/2023,,3.04,500.0,4542,3562
96,$1 Million Royale,20.0,1000000.0,6,32,07/17/2023,,3.04,200.0,7306,5729
97,$1 Million Royale,20.0,1000000.0,6,32,07/17/2023,,3.04,100.0,113054,88820
98,$1 Million Royale,20.0,1000000.0,6,32,07/17/2023,,3.04,50.0,169576,133172
99,$1 Million Royale,20.0,1000000.0,6,32,07/17/2023,,3.04,30.0,226122,177869
100,$1 Million Royale,20.0,1000000.0,6,32,07/17/2023,,3.04,25.0,226108,178029
101,$1 Million Royale,20.0,1000000.0,6,32,07/17/2023,,3.04,20.0,367417,289440
102,$600 Cash in Hand,10.0,600.0,4437,25,07/17/2023,,3.5,600.0,7002,4437
103,$600 Cash in Hand,10.0,600.0,4437,25,07/17/2023,,3.5,500.0,528,334
104,$600 Cash in Hand,10.0,600.0,4437,25,07/17/2023,,3.5,200.0,2204,1422
105,$600 Cash in Hand,10.0,600.0,4437,25,07/17/2023,,3.5,100.0,6821,4325
106,$600 Cash in Hand,10.0,600.0,4437,25,07/17/2023,,3.5,50.0,179432,113562
107,$600 Cash in Hand,10.0,600.0,4437,25,07/17/2023,,3.5,20.0,154566,98185
108,$600 Cash in Hand,10.0,600.0,4437,25,07/17/2023,,3.5,15.0,218706,139556
109,$600 Cash in Hand,10.0,600.0,4437,25,07/17/2023,,3.5,10.0,369326,236016
110,Bonus Cash Doubler,5.0,50000.0,5,17,07/17/2023,,3.93,50000.0,8,5
111,Bonus Cash Doubler,5.0,50000.0,5,17,07/17/2023,,3.93,5000.0,11,10
112,Bonus Cash Doubler,5.0,50000.0,5,17,07/17/2023,,3.93,1000.0,25,17
113,Bonus Cash Doubler,5.0,50000.0,5,17,07/17/2023,,3.93,500.0,1150,753
114,Bonus Cash Doubler,5.0,50000.0,5,17,07/17/2023,,3.93,250.0,2211,1457
115,Bonus Cash Doubler,5.0,50000.0,5,17,07/17/2023,,3.93,100.0,4712,3150
116,Bonus Cash Doubler,5.0,50000.0,5,17,07/17/2023,,3.93,50.0,76386,50298
117,Bonus Cash Doubler,5.0,50000.0,5,17,07/17/2023,,3.93,25.0,76408,50385
118,Bonus Cash Doubler,5.0,50000.0,5,17,07/17/2023,,3.93,15.0,166364,109880
119,Bonus Cash Doubler,5.0,50000.0,5,17,07/17/2023,,3.93,10.0,303841,201519
120,Bonus Cash Doubler,5.0,50000.0,5,17,07/17/2023,,3.93,5.0,478658,319776
121,Cash Crush,1.0,1000.0,20,6,07/17/2023,,4.45,1000.0,32,20
122,Cash Crush,1.0,1000.0,20,6,07/17/2023,,4.45,500.0,70,52
123,Cash Crush,1.0,1000.0,20,6,07/17/2023,,4.45,100.0,210,151
124,Cash Crush,1.0,1000.0,20,6,07/17/2023,,4.45,50.0,1211,867
125,Cash Crush,1.0,1000.0,20,6,07/17/2023,,4.45,20.0,7998,5948
126,Cash Crush,1.0,1000.0,20,6,07/17/2023,,4.45,10.0,45369,33850
127,Cash Crush,1.0,1000.0,20,6,07/17/2023,,4.45,5.0,124447,93005
128,Cash Crush,1.0,1000.0,20,6,07/17/2023,,4.45,2.0,344864,261843
129,Cash Crush,1.0,1000.0,20,6,07/17/2023,,4.45,1.0,402192,306694
130,Gold Bar Bingo,5.0,50000.0,7,6,07/17/2023,,3.83,50000.0,8,7
131,Gold Bar Bingo,5.0,50000.0,7,6,07/17/2023,,3.83,10000.0,10,7
132,Gold Bar Bingo,5.0,50000.0,7,6,07/17/2023,,3.83,5000.0,7,5
133,Gold Bar Bingo,5.0,50000.0,7,6,07/17/2023,,3.83,1000.0,130,91
134,Gold Bar Bingo,5.0,50000.0,7,6,07/17/2023,,3.83,500.0,825,603
135,Gold Bar Bingo,5.0,50000.0,7,6,07/17/2023,,3.83,140.0,1143,831
136,Gold Bar Bingo,5.0,50000.0,7,6,07/17/2023,,3.83,100.0,3907,2851
137,Gold Bar Bingo,5.0,50000.0,7,6,07/17/2023,,3.83,50.0,49245,35860
138,Gold Bar Bingo,5.0,50000.0,7,6,07/17/2023,,3.83,25.0,64766,46982
139,Gold Bar Bingo,5.0,50000.0,7,6,07/17/2023,,3.83,20.0,129532,94106
140,Gold Bar Bingo,5.0,50000.0,7,6,07/17/2023,,3.83,10.0,355894,260127
141,Gold Bar Bingo,5.0,50000.0,7,6,07/17/2023,,3.83,5.0,408145,299417
142,Cash Multiplier,5.0,50000.0,4,19,06/19/2023,,3.9,50000.0,8,4
143,Cash Multiplier,5.0,50000.0,4,19,06/19/2023,,3.9,5000.0,15,10
144,Cash Multiplier,5.0,50000.0,4,19,06/19/2023,,3.9,1000.0,28,15
145,Cash Multiplier,5.0,50000.0,4,19,06/19/2023,,3.9,500.0,1490,853
146,Cash Multiplier,5.0,50000.0,4,19,06/19/2023,,3.9,100.0,6043,3519
147,Cash Multiplier,5.0,50000.0,4,19,06/19/2023,,3.9,50.0,76454,44206
148,Cash Multiplier,5.0,50000.0,4,19,06/19/2023,,3.9,25.0,83748,48659
149,Cash Multiplier,5.0,50000.0,4,19,06/19/2023,,3.9,15.0,166366,96458
150,Cash Multiplier,5.0,50000.0,4,19,06/19/2023,,3.9,10.0,305679,178564
151,Cash Multiplier,5.0,50000.0,4,19,06/19/2023,,3.9,5.0,480363,282570
152,Diamond Bingo,3.0,30000.0,6,4,06/19/2023,,3.82,30000.0,7,6
153,Diamond Bingo,3.0,30000.0,6,4,06/19/2023,,3.82,1000.0,126,88
154,Diamond Bingo,3.0,30000.0,6,4,06/19/2023,,3.82,500.0,639,460
155,Diamond Bingo,3.0,30000.0,6,4,06/19/2023,,3.82,100.0,4291,3116
156,Diamond Bingo,3.0,30000.0,6,4,06/19/2023,,3.82,50.0,7256,5226
157,Diamond Bingo,3.0,30000.0,6,4,06/19/2023,,3.82,30.0,37614,27071
158,Diamond Bingo,3.0,30000.0,6,4,06/19/2023,,3.82,15.0,112842,81953
159,Diamond Bingo,3.0,30000.0,6,4,06/19/2023,,3.82,5.0,445614,324796
160,Diamond Bingo,3.0,30000.0,6,4,06/19/2023,,3.82,3.0,376353,275268
161,Ultimate Cash,10.0,100000.0,6,27,06/19/2023,,3.49,100000.0,8,6
162,Ultimate Cash,10.0,100000.0,6,27,06/19/2023,,3.49,50000.0,10,5
163,Ultimate Cash,10.0,100000.0,6,27,06/19/2023,,3.49,10000.0,58,33
164,Ultimate Cash,10.0,100000.0,6,27,06/19/2023,,3.49,1000.0,61,37
165,Ultimate Cash,10.0,100000.0,6,27,06/19/2023,,3.49,500.0,1071,592
166,Ultimate Cash,10.0,100000.0,6,27,06/19/2023,,3.49,200.0,2376,1296
167,Ultimate Cash,10.0,100000.0,6,27,06/19/2023,,3.49,100.0,7730,4240
168,Ultimate Cash,10.0,100000.0,6,27,06/19/2023,,3.49,50.0,216668,118750
169,Ultimate Cash,10.0,100000.0,6,27,06/19/2023,,3.49,20.0,148480,81884
170,Ultimate Cash,10.0,100000.0,6,27,06/19/2023,,3.49,15.0,179246,99415
171,Ultimate Cash,10.0,100000.0,6,27,06/19/2023,,3.49,10.0,349633,194364
172,Hot 7s,1.0,1000.0,20,6,05/22/2023,,4.6,1000.0,32,20
173,Hot 7s,1.0,1000.0,20,6,05/22/2023,,4.6,500.0,70,28
174,Hot 7s,1.0,1000.0,20,6,05/22/2023,,4.6,200.0,140,64
175,Hot 7s,1.0,1000.0,20,6,05/22/2023,,4.6,100.0,210,96
176,Hot 7s,1.0,1000.0,20,6,05/22/2023,,4.6,50.0,1284,560
177,Hot 7s,1.0,1000.0,20,6,05/22/2023,,4.6,20.0,10568,4756
178,Hot 7s,1.0,1000.0,20,6,05/22/2023,,4.6,10.0,41422,18977
179,Hot 7s,1.0,1000.0,20,6,05/22/2023,,4.6,5.0,124246,57994
180,Hot 7s,1.0,1000.0,20,6,05/22/2023,,4.6,2.0,330964,160970
181,Hot 7s,1.0,1000.0,20,6,05/22/2023,,4.6,1.0,386366,193798
182,Hot 7s Doubler,2.0,10000.0,3,11,05/22/2023,,4.2,10000.0,7,3
183,Hot 7s Doubler,2.0,10000.0,3,11,05/22/2023,,4.2,5000.0,5,3
184,Hot 7s Doubler,2.0,10000.0,3,11,05/22/2023,,4.2,1000.0,11,4
185,Hot 7s Doubler,2.0,10000.0,3,11,05/22/2023,,4.2,500.0,186,93
186,Hot 7s Doubler,2.0,10000.0,3,11,05/22/2023,,4.2,100.0,1585,737
187,Hot 7s Doubler,2.0,10000.0,3,11,05/22/2023,,4.2,50.0,4117,1897
188,Hot 7s Doubler,2.0,10000.0,3,11,05/22/2023,,4.2,20.0,47493,22877
189,Hot 7s Doubler,2.0,10000.0,3,11,05/22/2023,,4.2,10.0,58044,27852
190,Hot 7s Doubler,2.0,10000.0,3,11,05/22/2023,,4.2,5.0,95195,46717
191,Hot 7s Doubler,2.0,10000.0,3,11,05/22/2023,,4.2,4.0,195392,96439
192,Hot 7s Doubler,2.0,10000.0,3,11,05/22/2023,,4.2,2.0,351913,177457
193,Hot 7s Multiplier,10.0,100000.0,3,26,05/22/2023,,3.43,100000.0,8,3
194,Hot 7s Multiplier,10.0,100000.0,3,26,05/22/2023,,3.43,10000.0,32,16
195,Hot 7s Multiplier,10.0,100000.0,3,26,05/22/2023,,3.43,1000.0,53,31
196,Hot 7s Multiplier,10.0,100000.0,3,26,05/22/2023,,3.43,500.0,1730,921
197,Hot 7s Multiplier,10.0,100000.0,3,26,05/22/2023,,3.43,200.0,3827,2029
198,Hot 7s Multiplier,10.0,100000.0,3,26,05/22/2023,,3.43,100.0,16031,8488
199,Hot 7s Multiplier,10.0,100000.0,3,26,05/22/2023,,3.43,50.0,192500,101539
200,Hot 7s Multiplier,10.0,100000.0,3,26,05/22/2023,,3.43,20.0,155868,82601
201,Hot 7s Multiplier,10.0,100000.0,3,26,05/22/2023,,3.43,15.0,211017,112411
202,Hot 7s Multiplier,10.0,100000.0,3,26,05/22/2023,,3.43,10.0,342905,183313
203,Hot 7s Tripler,5.0,50000.0,4,16,05/22/2023,,3.99,50000.0,8,4
204,Hot 7s Tripler,5.0,50000.0,4,16,05/22/2023,,3.99,5000.0,10,6
205,Hot 7s Tripler,5.0,50000.0,4,16,05/22/2023,,3.99,1000.0,22,8
206,Hot 7s Tripler,5.0,50000.0,4,16,05/22/2023,,3.99,500.0,1175,563
207,Hot 7s Tripler,5.0,50000.0,4,16,05/22/2023,,3.99,100.0,5504,2703
208,Hot 7s Tripler,5.0,50000.0,4,16,05/22/2023,,3.99,75.0,6772,3289
209,Hot 7s Tripler,5.0,50000.0,4,16,05/22/2023,,3.99,50.0,80816,39581
210,Hot 7s Tripler,5.0,50000.0,4,16,05/22/2023,,3.99,25.0,74603,36645
211,Hot 7s Tripler,5.0,50000.0,4,16,05/22/2023,,3.99,15.0,162136,79876
212,Hot 7s Tripler,5.0,50000.0,4,16,05/22/2023,,3.99,10.0,291359,144320
213,Hot 7s Tripler,5.0,50000.0,4,16,05/22/2023,,3.99,5.0,472749,237022
214,Red Hot Cash,3.0,30000.0,4,8,05/22/2023,,3.98,30000.0,8,4
215,Red Hot Cash,3.0,30000.0,4,8,05/22/2023,,3.98,1000.0,16,11
216,Red Hot Cash,3.0,30000.0,4,8,05/22/2023,,3.98,500.0,489,324
217,Red Hot Cash,3.0,30000.0,4,8,05/22/2023,,3.98,200.0,862,559
218,Red Hot Cash,3.0,30000.0,4,8,05/22/2023,,3.98,100.0,1430,934
219,Red Hot Cash,3.0,30000.0,4,8,05/22/2023,,3.98,60.0,2592,1681
220,Red Hot Cash,3.0,30000.0,4,8,05/22/2023,,3.98,30.0,28390,18394
221,Red Hot Cash,3.0,30000.0,4,8,05/22/2023,,3.98,20.0,36932,23918
222,Red Hot Cash,3.0,30000.0,4,8,05/22/2023,,3.98,15.0,69461,44766
223,Red Hot Cash,3.0,30000.0,4,8,05/22/2023,,3.98,10.0,85203,55326
224,Red Hot Cash,3.0,30000.0,4,8,05/22/2023,,3.98,5.0,276749,180809
225,Red Hot Cash,3.0,30000.0,4,8,05/22/2023,,3.98,3.0,355072,233277
226,Corvette® Cash,5.0,50000.0,3,15,04/24/2023,,3.82,50000.0,8,3
227,Corvette® Cash,5.0,50000.0,3,15,04/24/2023,,3.82,5000.0,12,4
228,Corvette® Cash,5.0,50000.0,3,15,04/24/2023,,3.82,1000.0,30,12
229,Corvette® Cash,5.0,50000.0,3,15,04/24/2023,,3.82,500.0,1076,438
230,Corvette® Cash,5.0,50000.0,3,15,04/24/2023,,3.82,100.0,4823,1927
231,Corvette® Cash,5.0,50000.0,3,15,04/24/2023,,3.82,75.0,3294,1328
232,Corvette® Cash,5.0,50000.0,3,15,04/24/2023,,3.82,50.0,74613,29914
233,Corvette® Cash,5.0,50000.0,3,15,04/24/2023,,3.82,25.0,80012,32283
234,Corvette® Cash,5.0,50000.0,3,15,04/24/2023,,3.82,15.0,170973,69256
235,Corvette® Cash,5.0,50000.0,3,15,04/24/2023,,3.82,10.0,325900,133551
236,Corvette® Cash,5.0,50000.0,3,15,04/24/2023,,3.82,5.0,483442,202258
237,Gold Fish®,2.0,10000.0,3,10,04/24/2023,,4.12,10000.0,6,3
238,Gold Fish®,2.0,10000.0,3,10,04/24/2023,,4.12,2000.0,14,5
239,Gold Fish®,2.0,10000.0,3,10,04/24/2023,,4.12,1000.0,22,10
240,Gold Fish®,2.0,10000.0,3,10,04/24/2023,,4.12,500.0,188,76
241,Gold Fish®,2.0,10000.0,3,10,04/24/2023,,4.12,100.0,2109,775
242,Gold Fish®,2.0,10000.0,3,10,04/24/2023,,4.12,50.0,6078,2375
243,Gold Fish®,2.0,10000.0,3,10,04/24/2023,,4.12,20.0,31636,13305
244,Gold Fish®,2.0,10000.0,3,10,04/24/2023,,4.12,10.0,63272,24937
245,Gold Fish®,2.0,10000.0,3,10,04/24/2023,,4.12,5.0,126544,51606
246,Gold Fish®,2.0,10000.0,3,10,04/24/2023,,4.12,4.0,189842,78003
